"tmax" "tmin" "tmean" "td" "precip" "ETo.Kc" "precip.month.byday" "Eff.R" "IRR" "ETo_mm"
"1982-03-23" 36.48832878 18.47684484 27.68097022 18.01148394 0 2.83668559697809 1.69977644832258 0 2.83668559697809 6.16670781951759
"1982-03-24" 36.27927956 17.89381223 27.28596976 18.38546733 1.011918188 2.85486351512339 1.69977644832258 0 2.85486351512339 6.20622503287693
"1982-03-25" 32.15927109 15.06895643 23.81596854 17.09031466 12.63584789 2.55276314796143 1.69977644832258 0 2.55276314796143 5.54948510426399
"1982-03-26" 30.35348877 16.5350266 23.64597037 13.81846217 0 2.29681121750397 1.69977644832258 0 2.29681121750397 4.99306786413907
"1982-03-27" 31.28858742 15.06875901 23.37596992 16.21982841 0 2.48362637025463 1.69977644832258 0 2.48362637025463 5.39918776142312
"1982-03-28" 32.61708244 16.22769361 24.62096885 16.38938883 0 2.58378119054967 1.69977644832258 0 2.58378119054967 5.61691563162972
"1982-03-29" 34.69153771 17.48875051 26.29096892 17.2027872 0 2.76366511801175 1.69977644832258 0 2.76366511801175 6.00796764785162
"1982-03-30" 35.44913658 19.00599675 27.43097022 16.44313983 0 2.78403828867989 1.69977644832258 0 2.78403828867989 6.0522571493041
"1982-03-31" 35.63830361 19.61460119 27.82597068 16.02370242 0 2.78431820360213 1.69977644832258 0 2.78431820360213 6.05286566000462
"1982-04-01" 37.04650052 20.40274815 28.8174628 16.64375238 0 2.91169365132833 1.40603953503333 0 2.91169365132833 6.32976880723549
"1982-04-02" 37.46931012 19.86181072 28.75746143 17.60749941 0 3.00347002346492 1.40603953503333 0 3.00347002346492 6.52928265970634
"1982-04-03" 38.08344205 18.63339047 28.45246112 19.45005159 0 3.14892061693196 1.40603953503333 0 3.14892061693196 6.84547960202599
"1982-04-04" 38.06851896 18.29348187 28.27246272 19.7750371 0 3.17552415929672 1.40603953503333 0 3.17552415929672 6.90331338977548
"1982-04-05" 39.27685102 21.45126156 30.45746219 17.82558947 0 3.17042980433995 1.40603953503333 0 3.17042980433995 6.89223870508685
"1982-04-06" 39.84559568 21.62252621 30.82746112 18.22306948 0 3.24270894896375 1.40603953503333 0 3.24270894896375 7.04936728035599
"1982-04-07" 40.62636884 21.89737324 31.35246265 18.72899561 0 3.3355663363325 1.40603953503333 0 3.3355663363325 7.25123116594023
"1982-04-08" 38.65170606 18.74855045 28.79246127 19.90315562 0 3.27161901031595 1.40603953503333 0 3.27161901031595 7.11221523981729
"1982-04-09" 35.67645963 17.41162113 26.6374625 18.26483851 0 3.00006026814847 1.40603953503333 0 3.00006026814847 6.52187014814886
"1982-04-10" 37.21980985 17.85011868 27.62746227 19.36969118 0 3.16961922625765 1.40603953503333 0 3.16961922625765 6.89047657882098
"1982-04-11" 38.50973829 18.02404217 28.35746181 20.48569613 0 3.32366208546864 1.40603953503333 0 3.32366208546864 7.22535235971444
"1982-04-12" 39.65038999 19.40044026 29.61746204 20.24994974 0 3.40635690795201 1.40603953503333 0 3.40635690795201 7.40512371293916
"1982-04-13" 39.96887906 20.40831761 30.28246295 19.56056146 0 3.40624309709934 1.40603953503333 0 3.40624309709934 7.40487629804203
"1982-04-14" 39.63382276 20.77601818 30.29746234 18.85780459 0 3.35654661056348 1.40603953503333 0 3.35654661056348 7.29684045774669
"1982-04-15" 38.84998639 21.47471813 30.25246227 17.37526827 0 3.2292486131003 1.40603953503333 0 3.2292486131003 7.02010568065284
"1982-04-16" 39.73404249 23.44396404 31.68246066 16.29007846 0 3.22995674637118 1.40603953503333 0 3.22995674637118 7.02164510080692
"1982-04-17" 36.92576154 22.94580273 30.02746188 13.97995882 0 0 1.40603953503333 0 0 6.30650679272272
"1982-04-18" 37.56964429 21.4299107 29.59246433 16.1397336 39.35403786 0 1.40603953503333 0 0 6.73469139491967
"1982-04-19" 34.5122865 20.72929959 27.71246326 13.78298692 0 0 1.40603953503333 0 0 5.99422664390662
"1982-04-20" 34.66353925 19.41390042 27.13246143 15.24963884 2.827148191 0 1.40603953503333 0 0 6.24254350950684
"1982-04-21" 36.46001752 20.57990269 28.61246288 15.88011484 0 0 1.40603953503333 0 0 6.59846993895389
"1982-04-22" 38.22827085 22.00895886 30.21246326 16.219312 0 0 1.40603953503333 0 0 6.9172309036264
"1982-04-23" 39.46654828 21.96259121 30.80746066 17.50395708 0 0 1.40603953503333 0 0 7.29430145614352
"1982-04-24" 40.07849058 22.95664791 31.60746181 17.12184268 0 0 1.40603953503333 0 0 7.35193468422081
"1982-04-25" 39.59778531 23.34111599 31.56246173 16.25666933 0 0 1.40603953503333 0 0 7.17527476565708
"1982-04-26" 39.98200544 23.2443314 31.70246303 16.73767405 0 0 1.40603953503333 0 0 7.31919986140421
"1982-04-27" 36.09614499 22.77935795 29.53246295 13.31678705 0 0 1.40603953503333 0 0 6.25724132807355
"1982-04-28" 37.23357328 21.61350636 29.51746166 15.62006693 0 0 1.40603953503333 0 0 6.79037302240677
"1982-04-29" 37.94475492 22.19385914 30.16246021 15.75089579 0 0 1.40603953503333 0 0 6.92729492784223
"1982-04-30" 38.06110318 22.11596874 30.1774615 15.94513445 0 0 1.40603953503333 0 0 6.98734703528783
"1982-05-01" 37.25408787 22.4664127 29.75492728 14.78767517 0 0 1.36363213196774 0 0 6.68391066801378
"1982-05-02" 39.23421712 23.73519436 31.37992728 15.49902276 0 0 1.36363213196774 0 0 7.09124694500504
"1982-05-03" 39.92163319 24.73779217 32.22992766 15.18384102 0 0 1.36363213196774 0 0 7.15441652876593
"1982-05-04" 40.51967091 24.21117703 32.26492751 16.30849388 0 0 1.36363213196774 0 0 7.43427970513
"1982-05-05" 40.29409642 24.53395954 32.3099295 15.76013688 0 0 1.36363213196774 0 0 7.3286043853989
"1982-05-06" 40.213839 23.52760998 31.76992858 16.68622902 0 0 1.36363213196774 0 0 7.4732347585732
"1982-05-07" 40.45968861 25.17554012 32.71492828 15.28414849 0 0 1.36363213196774 0 0 7.30163837506461
"1982-05-08" 40.66526646 24.81969181 32.63992751 15.84557465 0 0 1.36363213196774 0 0 7.4362242716847
"1982-05-09" 41.12197346 25.0873386 33.00492919 16.03463486 0 0 1.36363213196774 0 0 7.54708439320336
"1982-05-10" 40.85446019 24.65595165 32.64992965 16.19850854 7.378469297 0 1.36363213196774 0 0 7.54462696363042
"1982-05-11" 36.55547566 22.72639004 29.53492797 13.82908562 0.348225773 0 1.36363213196774 0 0 6.55074159343591
"1982-05-12" 38.32304234 23.7033569 30.90992797 14.61968544 0 0 1.36363213196774 0 0 6.94140933519527
"1982-05-13" 39.19733662 21.75191036 30.37492812 17.44542626 3.92986789 0 1.36363213196774 0 0 7.51016264292701
"1982-05-14" 34.98321767 21.94724194 28.36492789 13.03597573 19.92198891 0 1.36363213196774 0 0 6.2298167561174
"1982-05-15" 34.40715642 24.09817425 29.1549269 10.30898217 9.456457233 0 1.36363213196774 0 0 5.64237794932194
"1982-05-16" 34.57564015 21.63153187 27.99992812 12.94410828 1.025945453 0 1.36363213196774 0 0 6.17495805420246
"1982-05-17" 35.80603642 20.55329243 28.07492698 15.25274399 0 0 1.36363213196774 0 0 6.72235092639502
"1982-05-18" 36.66819997 21.27334705 28.86992896 15.39485292 0 0 1.36363213196774 0 0 6.87882633710675
"1982-05-19" 37.74886937 22.64838329 30.0999266 15.10048608 0 0 1.36363213196774 0 0 7.00030070357043
"1982-05-20" 38.64925618 24.43536106 31.43992866 14.21389512 0 0 1.36363213196774 0 0 6.98935288295133
"1982-05-21" 38.98877949 22.94578282 30.8649298 16.04299667 0.211641535 0 1.36363213196774 0 0 7.34646588264476
"1982-05-22" 38.50912709 23.92131916 31.1149298 14.58780793 0 0 1.36363213196774 0 0 7.04844030497442
"1982-05-23" 36.80382008 21.89119068 29.24492705 14.9126294 0 0 1.36363213196774 0 0 6.86063167177301
"1982-05-24" 38.1604752 23.93719402 30.94992889 14.22328118 0 0 1.36363213196774 0 0 6.94938992211238
"1982-05-25" 39.66247411 24.03105847 31.74492705 15.63141564 0 0 1.36363213196774 0 0 7.41056034395863
"1982-05-26" 40.75417943 25.25406757 32.89992583 15.50011186 0 0 1.36363213196774 0 0 7.55768784071548
"1982-05-27" 41.72282262 26.27432743 33.89492858 15.44849519 0 0 1.36363213196774 0 0 7.69925419895115
"1982-05-28" 42.36716695 27.823661 34.99492705 14.54350595 0 4.65736024073454 1.36363213196774 0 4.65736024073454 7.63501678808941
"1982-05-29" 41.38109822 26.77308384 33.97493041 14.60801438 0 4.58074694274733 1.36363213196774 0 4.58074694274733 7.50942121761858
"1982-05-30" 41.84207387 26.44587628 34.03992904 15.39619759 0 4.71176021949986 1.36363213196774 0 4.71176021949986 7.72419708114732
"1982-05-31" 42.41707844 26.89381519 34.55492843 15.52326325 0 4.78117913440732 1.36363213196774 0 4.78117913440732 7.83799858099561
"1982-06-01" 42.04564963 27.58070704 34.80879186 14.46494259 0 4.64044675969805 9.11405528616667 0 4.64044675969805 7.6072897699968
"1982-06-02" 41.0919982 25.565824 33.32879232 15.5261742 0 4.67499961399007 9.11405528616667 0 4.67499961399007 7.66393379342635
"1982-06-03" 41.73174582 24.6238074 33.1787908 17.10793842 0 4.89549564510487 9.11405528616667 0 4.89549564510487 8.02540269689322
"1982-06-04" 41.52579413 26.57146785 34.04378866 14.95432628 0 4.65690031543432 9.11405528616667 0 4.65690031543432 7.63426281218741
"1982-06-05" 36.38297568 24.76301142 30.57379125 11.61996426 72.60049037 3.83196922514975 9.11405528616667 0 3.83196922514975 6.28191676254057
"1982-06-06" 30.93535529 24.12145182 27.52379011 6.813903467 70.23265966 2.75049484249106 9.11405528616667 0 2.75049484249106 4.50900793850994
"1982-06-07" 31.48974524 24.46657321 27.97879003 7.023172027 0 2.82149545455956 9.11405528616667 0 2.82149545455956 4.62540238452387
"1982-06-08" 34.23195563 25.7764506 30.00378965 8.455505027 0 3.23390364499903 9.11405528616667 0 3.23390364499903 5.30148138524431
